Bridge/Tunnel,Year,Month,Vehicles Type,Eastbound Volume
Bayonne Bridge,2015,Jun,Automobile,172089
Bayonne Bridge,2015,Oct,Automobile,141316
Bayonne Bridge,2015,Nov,Automobile,140476
Bayonne Bridge,2015,Apr,Automobile,158059
Bayonne Bridge,2015,Jul,Automobile,160440
Bayonne Bridge,2015,Mar,Automobile,180071
Bayonne Bridge,2015,Jan,Automobile,183686
Bayonne Bridge,2015,Dec,Automobile,158019
Bayonne Bridge,2015,Feb,Automobile,153817
Bayonne Bridge,2015,Aug,Automobile,151366
Bayonne Bridge,2015,Sep,Automobile,152748
Bayonne Bridge,2015,May,Automobile,181481
Bayonne Bridge,2015,Apr,Bus,1034
Bayonne Bridge,2015,Mar,Bus,1262
Bayonne Bridge,2015,Dec,Bus,915
Bayonne Bridge,2015,May,Bus,1105
Bayonne Bridge,2015,Jun,Bus,1057
Bayonne Bridge,2015,Jul,Bus,954
Bayonne Bridge,2015,Sep,Bus,926
Bayonne Bridge,2015,Feb,Bus,1030
Bayonne Bridge,2015,Oct,Bus,848
Bayonne Bridge,2015,Jan,Bus,1151
Bayonne Bridge,2015,Aug,Bus,908
Bayonne Bridge,2015,Nov,Bus,807
Bayonne Bridge,2015,Nov,Total vehicles,148348
Bayonne Bridge,2015,May,Total vehicles,191820
Bayonne Bridge,2015,Oct,Total vehicles,149906
Bayonne Bridge,2015,Mar,Total vehicles,194723
Bayonne Bridge,2015,Apr,Total vehicles,167765
Bayonne Bridge,2015,Aug,Total vehicles,160308
Bayonne Bridge,2015,Jul,Total vehicles,169705
Bayonne Bridge,2015,Jan,Total vehicles,198710
Bayonne Bridge,2015,Sep,Total vehicles,161798
Bayonne Bridge,2015,Dec,Total vehicles,167150
Bayonne Bridge,2015,Feb,Total vehicles,166023
Bayonne Bridge,2015,Jun,Total vehicles,181418
Bayonne Bridge,2015,Feb,Truck,11176
Bayonne Bridge,2015,Jul,Truck,8311
Bayonne Bridge,2015,Dec,Truck,8216
Bayonne Bridge,2015,May,Truck,9234
Bayonne Bridge,2015,Mar,Truck,13390
Bayonne Bridge,2015,Jan,Truck,13873
Bayonne Bridge,2015,Apr,Truck,8672
Bayonne Bridge,2015,Oct,Truck,7742
Bayonne Bridge,2015,Sep,Truck,8124
Bayonne Bridge,2015,Jun,Truck,8272
Bayonne Bridge,2015,Nov,Truck,7065
Bayonne Bridge,2015,Aug,Truck,8034
Bayonne Bridge,2014,Jul,Automobile,230708
Bayonne Bridge,2014,Mar,Automobile,228401
Bayonne Bridge,2014,Jun,Automobile,230353
Bayonne Bridge,2014,May,Automobile,211592
Bayonne Bridge,2014,Feb,Automobile,191670
Bayonne Bridge,2014,Sep,Automobile,198731
Bayonne Bridge,2014,Nov,Automobile,192936
Bayonne Bridge,2014,Oct,Automobile,224999
Bayonne Bridge,2014,Dec,Automobile,216058
Bayonne Bridge,2014,Aug,Automobile,198838
Bayonne Bridge,2014,Apr,Automobile,222839
Bayonne Bridge,2014,Jan,Automobile,217623
Bayonne Bridge,2014,Aug,Bus,1289
Bayonne Bridge,2014,Oct,Bus,1456
Bayonne Bridge,2014,Jun,Bus,1511
Bayonne Bridge,2014,Jan,Bus,1389
Bayonne Bridge,2014,Mar,Bus,1383
Bayonne Bridge,2014,May,Bus,1468
Bayonne Bridge,2014,Nov,Bus,1325
Bayonne Bridge,2014,Apr,Bus,1298
Bayonne Bridge,2014,Feb,Bus,1211
Bayonne Bridge,2014,Dec,Bus,1340
Bayonne Bridge,2014,Sep,Bus,1282
Bayonne Bridge,2014,Jul,Bus,1612
Bayonne Bridge,2014,Feb,Total vehicles,207434
Bayonne Bridge,2014,May,Total vehicles,230416
Bayonne Bridge,2014,Nov,Total vehicles,207807
Bayonne Bridge,2014,Jul,Total vehicles,250536
Bayonne Bridge,2014,Apr,Total vehicles,240789
Bayonne Bridge,2014,Jan,Total vehicles,236061
Bayonne Bridge,2014,Jun,Total vehicles,249395
Bayonne Bridge,2014,Mar,Total vehicles,247515
Bayonne Bridge,2014,Dec,Total vehicles,232744
Bayonne Bridge,2014,Oct,Total vehicles,243349
Bayonne Bridge,2014,Aug,Total vehicles,215960
Bayonne Bridge,2014,Sep,Total vehicles,215817
Bayonne Bridge,2014,Mar,Truck,17731
Bayonne Bridge,2014,Apr,Truck,16652
Bayonne Bridge,2014,Jun,Truck,17531
Bayonne Bridge,2014,Nov,Truck,13546
Bayonne Bridge,2014,Sep,Truck,15804
Bayonne Bridge,2014,Feb,Truck,14553
Bayonne Bridge,2014,Dec,Truck,15346
Bayonne Bridge,2014,Aug,Truck,15833
Bayonne Bridge,2014,Jul,Truck,18216
Bayonne Bridge,2014,May,Truck,17356
Bayonne Bridge,2014,Jan,Truck,17049
Bayonne Bridge,2014,Oct,Truck,16894
Bayonne Bridge,2013,Jul,Automobile,274895
Bayonne Bridge,2013,Jun,Automobile,270994
Bayonne Bridge,2013,May,Automobile,278376
Bayonne Bridge,2013,Apr,Automobile,264471
Bayonne Bridge,2013,Dec,Automobile,246151
Bayonne Bridge,2013,Nov,Automobile,260625
Bayonne Bridge,2013,Oct,Automobile,276098
Bayonne Bridge,2013,Aug,Automobile,280857
Bayonne Bridge,2013,Sep,Automobile,262422
Bayonne Bridge,2013,Mar,Automobile,261071
Bayonne Bridge,2013,Feb,Automobile,228696
Bayonne Bridge,2013,Jan,Automobile,255418
Bayonne Bridge,2013,May,Bus,2052
Bayonne Bridge,2013,Apr,Bus,1852
Bayonne Bridge,2013,Dec,Bus,1605
Bayonne Bridge,2013,Nov,Bus,1814
Bayonne Bridge,2013,Oct,Bus,2154
Bayonne Bridge,2013,Jan,Bus,1637
Bayonne Bridge,2013,Feb,Bus,1475
Bayonne Bridge,2013,Mar,Bus,1776
